PW(µs),Azimuth(º),Elevation(º),Power(dBm),Freq(MHz),cluster
2.76,37.617188,90.0,-51.5,4396.78,0
2.76,34.804688,90.0,-51.0,4396.965,0
2.76,51.679688,90.0,-50.5,4396.73,0
2.76,34.804688,90.0,-51.5,4396.88,0
2.76,35.859375,90.0,-51.5,4394.26,0
2.76,38.671875,90.0,-51.5,4394.495,0
2.76,35.859375,90.0,-51.5,4394.3,0
2.76,34.804688,90.0,-52.0,4394.3,0
2.76,35.859375,90.0,-52.0,4394.495,0
2.76,48.867188,90.0,-50.5,4394.3,0
2.76,48.515625,90.0,-51.0,4396.88,0
2.76,31.640625,90.0,-52.0,4396.92,0
2.76,32.695313,90.0,-52.0,4396.965,0
2.76,47.109375,90.0,-50.5,4396.83,0
2.76,31.640625,90.0,-51.5,4396.92,0
2.75,48.867188,90.0,-50.5,4396.83,0
2.76,48.515625,90.0,-50.0,4394.635,0
2.76,47.109375,90.0,-50.0,4394.4,0
2.76,48.515625,90.0,-50.0,4394.585,0
2.76,48.515625,90.0,-50.0,4394.635,0
2.76,48.515625,90.0,-50.5,4394.585,0
2.78,48.515625,90.0,-50.5,4394.535,0
2.76,36.914063,90.0,-51.5,4397.105,0
2.76,35.859375,90.0,-51.5,4397.015,0
2.76,38.671875,90.0,-52.0,4396.88,0
2.76,38.671875,90.0,-52.0,4397.015,0
2.76,38.671875,90.0,-52.0,4397.015,0
2.76,39.726563,90.0,-52.0,4396.965,0
2.76,40.429688,90.0,-52.5,4397.105,0
2.76,37.617188,90.0,-52.0,4397.015,0
2.76,40.429688,90.0,-51.0,4396.92,0
2.76,38.671875,90.0,-52.0,4397.015,0
2.78,39.726563,90.0,-51.0,4397.015,0
2.78,39.726563,90.0,-51.5,4396.965,0
2.76,39.726563,90.0,-51.5,4397.065,0
2.76,36.914063,90.0,-51.5,4397.065,0
2.76,37.617188,90.0,-51.5,4396.92,0
2.76,39.726563,90.0,-51.5,4396.88,0
2.76,37.617188,90.0,-53.0,4396.92,0
2.76,37.617188,90.0,-53.0,4397.015,0
2.78,37.617188,90.0,-53.0,4397.015,0
2.76,38.671875,90.0,-53.0,4397.065,0
2.76,34.101563,90.0,-53.5,4396.92,0
2.76,32.695313,90.0,-53.5,4396.965,0
2.76,36.914063,90.0,-54.0,4397.015,0
2.76,38.671875,90.0,-53.5,4397.25,0
2.76,38.671875,90.0,-54.5,4396.88,0
2.76,40.429688,90.0,-54.5,4396.92,0
2.76,40.429688,90.0,-54.5,4397.065,0
2.76,39.726563,90.0,-54.0,4397.2,0
2.76,40.429688,90.0,-54.5,4397.015,0
2.76,40.429688,90.0,-54.5,4397.105,0
2.76,41.484375,90.0,-54.5,4396.88,0
2.76,42.890625,90.0,-54.0,4396.965,0
2.76,38.671875,90.0,-50.5,4397.015,0
2.76,39.726563,90.0,-50.0,4397.015,0
2.76,39.726563,90.0,-50.5,4397.15,0
2.76,38.671875,90.0,-50.5,4397.015,0
2.76,39.726563,90.0,-50.5,4397.065,0
2.76,38.671875,90.0,-50.5,4397.015,0
2.76,38.671875,90.0,-51.0,4396.965,0
2.78,41.484375,90.0,-51.0,4396.965,0
2.76,37.617188,90.0,-51.5,4394.4,0
2.78,38.671875,90.0,-52.0,4394.68,0
2.76,34.804688,90.0,-52.0,4394.4,0
2.76,35.859375,90.0,-52.0,4394.4,0
2.75,34.101563,90.0,-53.0,4394.115,0
2.76,32.695313,90.0,-53.0,4394.585,0
2.76,32.695313,90.0,-52.5,4394.4,0
2.76,34.804688,90.0,-52.5,4394.35,0
4.21,164.882813,90.0,-55.5,1428.95,1
4.17,163.476563,90.0,-54.5,1427.135,1
4.2,157.5,90.0,-55.0,1427.555,1
2.76,36.914063,90.0,-53.5,4396.88,0
2.76,34.101563,90.0,-53.0,4396.73,0
2.76,35.859375,90.0,-53.5,4396.92,0
2.76,34.804688,90.0,-53.5,4396.78,0
2.76,35.859375,90.0,-53.0,4396.83,0
