cluster_id,is_noise,count,freq_unique,PW(µs)__mean,PW(µs)__median,PW(µs)__std,PW(µs)__min,PW(µs)__max,PW(µs)__q25,PW(µs)__q75,Azimuth(º)__mean,Azimuth(º)__median,Azimuth(º)__std,Azimuth(º)__min,Azimuth(º)__max,Azimuth(º)__q25,Azimuth(º)__q75,Elevation(º)__mean,Elevation(º)__median,Elevation(º)__std,Elevation(º)__min,Elevation(º)__max,Elevation(º)__q25,Elevation(º)__q75,Power(dBm)__mean,Power(dBm)__median,Power(dBm)__std,Power(dBm)__min,Power(dBm)__max,Power(dBm)__q25,Power(dBm)__q75,Freq(MHz)__mean,Freq(MHz)__median,Freq(MHz)__std,Freq(MHz)__min,Freq(MHz)__max,Freq(MHz)__q25,Freq(MHz)__q75
-1,True,4,3,17.537499999999998,17.11,3.001736997140155,14.8,21.13,15.205,19.4425,98.43750025,109.1601565,62.25138513613322,22.851563,152.578125,59.7656255,147.83203125,90.0,90.0,0.0,90.0,90.0,90.0,90.0,-26.625,-25.0,8.439737357682802,-37.0,-19.5,-31.75,-19.875,1425.67125,1425.65,0.18736661922557268,1425.465,1425.92,1425.60375,1425.7175000000002
0,False,5916,257,16.539082150101425,8.38,14.623926292401496,2.32,113.95,4.24,37.42,97.51420300591616,67.5,90.71253321609205,0.351563,358.242188,43.242188,107.929688,90.0,90.0,0.0,90.0,90.0,90.0,90.0,-39.08561528059499,-40.0,11.940305778733922,-75.5,8.5,-45.5,-34.5,3299.0704293441513,4540.275,1531.257363383666,517.825,4545.61,1425.69,4544.915
1,False,104,28,250.75201923076926,242.14,25.877400695527907,134.95,327.85,230.7475,273.4825,129.3614785673077,112.5,68.43453147691645,3.515625,353.320313,102.6562505,124.453125,90.0,90.0,0.0,90.0,90.0,90.0,90.0,-33.24519230769231,-34.25,13.831685025414307,-68.0,-11.5,-40.0,-18.0,1379.7595673076924,1376.195,12.681896777648072,1372.525,1426.43,1376.06,1376.33
2,False,9,7,19.596666666666668,19.33,1.457043238891695,16.63,21.19,18.94,21.07,43.671875444444446,37.617188,18.717012013431457,34.804688,93.164063,34.804688,39.726563,90.0,90.0,0.0,90.0,90.0,90.0,90.0,-35.333333333333336,-35.5,4.930770730829005,-42.0,-26.5,-37.0,-34.5,1414.6166666666666,1425.6,22.016239035084954,1375.785,1426.105,1425.465,1425.785
