PW(µs),Azimuth(º),Elevation(º),Power(dBm),Freq(MHz),cluster
11.83,98.4375,90.0,-16.0,1374.865,0
11.8,98.4375,90.0,-16.0,1375.55,0
16.6,103.007813,90.0,-48.0,1425.465,0
16.72,103.007813,90.0,-47.0,1425.6,0
239.02,113.90625,90.0,-40.0,1426.33,1
9.22,99.84375,90.0,-37.5,1425.69,0
9.28,99.84375,90.0,-37.5,1425.6,0
15.67,99.84375,90.0,-40.5,1425.92,0
4.24,98.4375,90.0,-40.0,1425.6,0
16.24,80.15625,90.0,-45.0,1425.65,0
15.97,76.992188,90.0,-45.5,1425.785,0
9.85,103.007813,90.0,-17.5,1425.69,0
9.82,106.523438,90.0,-17.5,1425.65,0
9.7,105.117188,90.0,-17.5,1425.6,0
9.52,103.007813,90.0,-17.0,1425.65,0
9.58,105.117188,90.0,-17.5,1425.875,0
9.58,103.007813,90.0,-17.0,1425.69,0
14.98,99.84375,90.0,-16.0,1375.51,0
15.01,101.601563,90.0,-16.5,1375.69,0
2.53,221.484375,90.0,-71.5,1357.23,0
8.89,107.929688,90.0,-36.5,1425.6,0
9.22,107.929688,90.0,-37.0,1425.65,0
8.92,107.929688,90.0,-37.0,1425.785,0
16.93,90.0,90.0,-14.5,1425.375,0
16.54,88.242188,90.0,-14.5,1425.465,0
16.57,88.242188,90.0,-14.5,1425.415,0
16.24,90.0,90.0,-14.5,1425.465,0
16.54,88.242188,90.0,-14.5,1425.415,0
15.97,88.242188,90.0,-14.5,1425.465,0
9.28,93.164063,90.0,-16.0,1375.465,0
8.77,91.757813,90.0,-15.5,1375.65,0
15.4,93.164063,90.0,-38.0,1425.835,0
15.52,93.164063,90.0,-38.0,1425.835,0
21.22,111.09375,90.0,-36.0,1375.51,0
255.22,103.007813,90.0,-39.0,1375.97,1
10.18,113.90625,90.0,-38.5,1425.875,0
10.3,113.90625,90.0,-38.5,1425.92,0
233.14,123.75,90.0,-43.0,1376.01,1
8.35,90.0,90.0,-37.0,1425.51,0
8.44,90.0,90.0,-37.0,1425.275,0
8.29,107.929688,90.0,-17.5,1425.6,0
8.29,107.929688,90.0,-17.5,1425.69,0
8.08,116.015625,90.0,-18.5,1425.69,0
8.14,117.421875,90.0,-18.0,1425.735,0
7.24,105.117188,90.0,-34.0,1425.6,0
8.65,105.117188,90.0,-34.0,1425.51,0
8.83,103.007813,90.0,-33.5,1425.735,0
8.74,101.601563,90.0,-34.0,1425.785,0
8.68,105.117188,90.0,-34.0,1425.735,0
8.74,105.117188,90.0,-34.0,1425.785,0
8.59,112.5,90.0,-32.5,1375.325,0
8.14,106.523438,90.0,-33.5,1425.785,0
8.65,107.929688,90.0,-33.5,1425.835,0
11.44,107.929688,90.0,-36.5,1425.785,0
11.5,107.929688,90.0,-36.5,1425.835,0
2.98,247.5,90.0,-66.5,1356.76,0
17.05,118.828125,90.0,-33.5,1375.875,0
8.17,98.4375,90.0,-34.5,1425.785,0
7.81,96.679688,90.0,-35.0,1425.735,0
15.1,84.726563,90.0,-37.0,1425.51,0
15.28,84.726563,90.0,-37.0,1425.55,0
12.52,114.609375,90.0,-18.0,1425.735,0
12.13,114.609375,90.0,-18.0,1425.69,0
12.37,112.5,90.0,-18.0,1425.735,0
12.22,113.90625,90.0,-18.0,1425.69,0
12.34,112.5,90.0,-18.0,1425.65,0
12.19,112.5,90.0,-18.0,1425.785,0
2.44,221.484375,90.0,-75.0,1356.105,0
8.62,111.09375,90.0,-34.5,1375.785,0
5.05,65.390625,90.0,-54.0,1374.915,0
9.4,107.929688,90.0,-33.0,1375.835,0
6.58,107.929688,90.0,-33.5,1375.835,0
7.9,105.117188,90.0,-34.5,1425.875,0
8.17,105.117188,90.0,-34.5,1425.835,0
11.65,119.882813,90.0,-18.0,1375.51,0
12.94,119.882813,90.0,-18.0,1375.6,0
18.64,111.09375,90.0,-32.0,1425.6,0
18.67,111.09375,90.0,-32.0,1425.735,0
8.59,113.90625,90.0,-36.0,1375.835,0
8.62,114.609375,90.0,-35.5,1375.835,0
8.38,113.90625,90.0,-34.0,1425.875,0
10.63,113.90625,90.0,-34.0,1425.785,0
10.63,112.5,90.0,-34.0,1425.785,0
