cluster_id,is_noise,count,freq_unique,PW(µs)__mean,PW(µs)__median,PW(µs)__std,PW(µs)__min,PW(µs)__max,PW(µs)__q25,PW(µs)__q75,Azimuth(º)__mean,Azimuth(º)__median,Azimuth(º)__std,Azimuth(º)__min,Azimuth(º)__max,Azimuth(º)__q25,Azimuth(º)__q75,Elevation(º)__mean,Elevation(º)__median,Elevation(º)__std,Elevation(º)__min,Elevation(º)__max,Elevation(º)__q25,Elevation(º)__q75,Power(dBm)__mean,Power(dBm)__median,Power(dBm)__std,Power(dBm)__min,Power(dBm)__max,Power(dBm)__q25,Power(dBm)__q75,Freq(MHz)__mean,Freq(MHz)__median,Freq(MHz)__std,Freq(MHz)__min,Freq(MHz)__max,Freq(MHz)__q25,Freq(MHz)__q75
-1,True,1746,147,25.11632302405498,9.73,57.49215861815637,2.44,327.85,7.0,14.74,157.05380186197021,111.09375,102.42136901217042,0.351563,358.242188,101.601563,189.84375,90.0,90.0,0.0,90.0,90.0,90.0,90.0,-27.585337915234824,-24.0,11.94926679245015,-68.0,-5.5,-36.0,-17.5,1570.6947164948454,1425.6,680.3517683352253,1368.46,4545.475,1425.375,1425.735
0,False,1646,47,4.280151883353584,4.0,0.5073398422352093,3.82,5.5,3.97,4.63,38.391436839003646,35.859375,20.497343006056187,0.351563,155.390625,22.851563,52.734375,90.0,90.0,0.0,90.0,90.0,90.0,90.0,-45.233900364520046,-45.0,6.410024840491668,-67.5,-34.0,-49.5,-41.0,4544.740792831106,4545.1,9.410294177053991,4274.915,4545.61,4544.955,4545.19
1,False,1832,41,37.419377729257654,37.42,0.1709367812519933,37.15,44.53,37.42,37.42,57.86484655567685,54.492188,21.860293398723158,0.351563,96.679688,47.109375,74.882813,90.0,90.0,0.0,90.0,90.0,90.0,90.0,-39.8889192139738,-39.5,5.961745199350528,-62.0,-33.5,-41.0,-34.5,4540.376681222708,4540.375,0.29721593824259024,4539.71,4544.165,4540.23,4540.52
2,False,484,118,5.052479338842974,4.3,1.992470934293114,2.32,17.68,4.18,5.327500000000001,233.92634647314054,221.484375,103.6002544162996,5.625,358.242188,164.882813,342.070313,90.0,90.0,0.0,90.0,90.0,90.0,90.0,-55.425619834710744,-58.0,10.798725321032519,-75.5,8.5,-64.0,-46.0,1406.661590909091,1425.6,47.55481498231352,517.825,1438.625,1375.92,1425.785
3,False,325,48,6.996953846153847,6.88,1.623127681387225,4.15,11.92,5.65,8.35,106.14591373230769,107.929688,34.797202039388814,8.789063,264.726563,91.757813,114.609375,90.0,90.0,0.0,90.0,90.0,90.0,90.0,-38.74153846153846,-38.5,4.294803503305338,-55.0,-25.5,-41.0,-36.0,1407.2593230769232,1425.6,24.156043297301437,1373.44,1426.245,1375.785,1425.735
