PW(µs),Azimuth(º),Elevation(º),Power(dBm),Freq(MHz),cluster
51.97,276.679688,90.0,-64.0,1640.295,0
51.94,283.007813,90.0,-64.0,1640.2,0
9.88,151.171875,90.0,-62.5,1615.96,1
9.04,155.390625,90.0,-63.0,1616.34,1
97.03,279.84375,90.0,-62.5,1640.58,0
97.15,246.09375,90.0,-65.5,1640.91,0
36.67,276.679688,90.0,-64.5,1640.775,0
58.93,273.164063,90.0,-65.0,1640.065,0
7.57,275.273438,90.0,-65.5,1640.25,1
7.6,276.679688,90.0,-65.0,1640.2,1
14.05,275.273438,90.0,-64.5,1639.82,1
13.84,242.578125,90.0,-68.0,1639.585,1
16.42,271.757813,90.0,-65.5,1639.205,1
5.74,276.679688,90.0,-67.0,1640.065,1
8.44,263.320313,90.0,-67.0,1640.68,1
5.59,271.757813,90.0,-65.0,1642.805,1
11.44,138.515625,90.0,-65.0,1614.475,1
16.75,157.5,90.0,-66.5,1614.955,1
7.3,270.0,90.0,-65.0,1640.015,1
7.45,278.4375,90.0,-65.5,1639.72,1
37.15,273.164063,90.0,-61.5,1640.775,0
37.0,276.679688,90.0,-62.5,1640.725,0
3.34,278.4375,90.0,-66.0,1640.1,1
23.98,283.007813,90.0,-64.0,1639.965,0
19.3,281.601563,90.0,-64.5,1640.345,1
24.7,287.929688,90.0,-62.5,1639.72,0
25.63,289.335938,90.0,-62.0,1639.77,0
8.59,276.679688,90.0,-63.5,1639.915,1
6.1,275.273438,90.0,-65.5,1640.395,1
9.07,276.679688,90.0,-64.0,1640.295,1
30.67,276.679688,90.0,-67.0,1640.295,0
16.75,266.835938,90.0,-65.5,1640.1,1
24.85,271.757813,90.0,-67.0,1639.77,0
27.7,275.273438,90.0,-67.0,1639.77,0
13.87,240.117188,90.0,-70.0,1639.585,1
7.39,338.90625,90.0,-60.5,1639.635,1
7.48,336.09375,90.0,-61.0,1639.82,1
7.6,333.984375,90.0,-52.0,1640.2,1
7.63,333.984375,90.0,-52.0,1640.1,1
7.63,337.5,90.0,-52.5,1640.25,1
7.63,336.09375,90.0,-52.5,1640.065,1
34.75,311.484375,90.0,-67.0,1640.96,0
34.78,311.484375,90.0,-66.5,1640.865,0
36.85,268.242188,90.0,-67.0,1641.105,0
36.85,279.84375,90.0,-68.5,1639.77,0
7.6,333.984375,90.0,-57.0,1639.965,1
7.63,336.09375,90.0,-57.0,1640.015,1
87.67,336.09375,90.0,-61.5,1640.2,0
87.49,337.5,90.0,-62.5,1641.105,0
7.6,332.578125,90.0,-52.0,1639.965,1
7.63,335.390625,90.0,-52.0,1639.965,1
7.57,333.984375,90.0,-55.0,1639.82,1
7.57,333.984375,90.0,-54.5,1639.82,1
29.47,258.398438,90.0,-63.5,1639.965,0
29.74,252.070313,90.0,-63.0,1640.53,0
29.05,258.398438,90.0,-62.5,1640.395,0
29.05,256.992188,90.0,-62.5,1640.96,0
64.33,276.679688,90.0,-58.5,1640.25,0
64.3,273.164063,90.0,-59.0,1640.58,0
104.02,342.070313,90.0,-64.0,1639.34,0
103.93,338.90625,90.0,-64.5,1639.585,0
26.32,286.523438,90.0,-67.5,1639.965,0
31.27,283.007813,90.0,-67.5,1640.295,0
29.83,311.484375,90.0,-69.0,1640.445,0
10.69,311.484375,90.0,-68.0,1639.485,1
37.24,271.757813,90.0,-63.0,1641.01,0
37.18,270.0,90.0,-63.0,1641.295,0
