cluster_id,is_noise,count,freq_unique,PW(µs)__mean,PW(µs)__median,PW(µs)__std,PW(µs)__min,PW(µs)__max,PW(µs)__q25,PW(µs)__q75,Azimuth(º)__mean,Azimuth(º)__median,Azimuth(º)__std,Azimuth(º)__min,Azimuth(º)__max,Azimuth(º)__q25,Azimuth(º)__q75,Elevation(º)__mean,Elevation(º)__median,Elevation(º)__std,Elevation(º)__min,Elevation(º)__max,Elevation(º)__q25,Elevation(º)__q75,Power(dBm)__mean,Power(dBm)__median,Power(dBm)__std,Power(dBm)__min,Power(dBm)__max,Power(dBm)__q25,Power(dBm)__q75,Freq(MHz)__mean,Freq(MHz)__median,Freq(MHz)__std,Freq(MHz)__min,Freq(MHz)__max,Freq(MHz)__q25,Freq(MHz)__q75
-1,True,4,4,13.0,10.93,5.872801716387163,8.5,21.64,10.3225,13.6075,75.23437525,16.171875,128.889097022856,0.351563,268.242188,11.68945325,79.716797,90.0,90.0,0.0,90.0,90.0,90.0,90.0,-45.625,-39.25,13.268854509715599,-65.5,-38.5,-46.375,-38.5,1640.1774999999998,1640.205,0.3346764606800909,1639.82,1640.48,1639.92875,1640.45375
0,False,164,65,46.91225609756097,37.24,24.281767487193136,3.88,112.45,34.7725,52.3,247.82798237195124,270.87890649999997,88.42624196619582,8.789063,354.726563,221.484375,304.98046875,90.0,90.0,0.0,90.0,90.0,90.0,90.0,-61.97256097560975,-63.5,6.9721736690293215,-74.0,-30.5,-66.0,-60.0,1746.0599390243906,1640.445,565.4254939776536,1394.26,4823.1,1639.865,1640.865
1,False,113,54,8.319734513274335,7.6,3.8988717370214463,2.47,19.3,5.68,10.69,254.8019222300885,276.679688,89.14294625742305,0.351563,358.242188,221.484375,327.65625,90.0,90.0,0.0,90.0,90.0,90.0,90.0,-61.336283185840706,-64.5,7.980288908425991,-73.0,-38.5,-66.0,-58.5,1636.3458407079647,1639.965,14.107678916846254,1560.435,1642.805,1639.68,1640.345
